"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688182","灿勤科技","2021-11-16","10523328","江苏灿勤科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688183","生益电子","2021-02-25","10298532","生益电子股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688184","帕瓦股份","2022-09-19","10492402","浙江帕瓦新能源股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688185","康希诺","2020-08-13","10416156","康希诺生物股份公司","C27","医药制造业","","",""
"688186","广大特材","2020-02-11","10483057","张家港广大特材股份有限公司","C33","金属制品业","","",""
"688187","时代电气","2021-09-07","102894","株洲中车时代电气股份有限公司","C37","铁路、船舶、航空航天和其它运输设备制造业","","",""
"688188","柏楚电子","2019-08-08","10459498","上海柏楚电子科技股份有限公司","I65","软件和信息技术服务业","","",""
"688189","南新制药","2020-03-26","10336481","湖南南新制药股份有限公司","C27","医药制造业","","",""
"688190","云路股份","2021-11-26","10502274","青岛云路先进材料技术股份有限公司","C31","黑色金属冶炼及压延加工业","","",""
"688191","智洋创新","2021-04-08","10140479","智洋创新科技股份有限公司","I65","软件和信息技术服务业","","",""
"688192","迪哲医药","2021-12-10","10479093","迪哲(江苏)医药股份有限公司","C27","医药制造业","","",""
"688193","仁度生物","2022-03-30","10421860","上海仁度生物科技股份有限公司","C27","医药制造业","","",""
"688195","腾景科技","2021-03-26","10508561","腾景科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688196","卓越新能","2019-11-21","10134815","龙岩卓越新能源股份有限公司","C42","废弃资源综合利用业","","",""
"688197","首药控股","2022-03-23","10527769","首药控股(北京)股份有限公司","C27","医药制造业","","",""
"688198","佰仁医疗","2019-12-09","10463158","北京佰仁医疗科技股份有限公司","C35","专用设备制造业","","",""
"688199","久日新材","2019-11-05","10104361","天津久日新材料股份有限公司","C26","化学原料及化学制品制造业","","",""
"688200","华峰测控","2020-02-18","10483678","北京华峰测控技术股份有限公司","C35","专用设备制造业","","",""
"688201","信安世纪","2021-04-21","10448115","北京信安世纪科技股份有限公司","I65","软件和信息技术服务业","","",""
"688202","美迪西","2019-11-05","10408380","上海美迪西生物医药股份有限公司","M73","研究和试验发展","","",""
"688203","海正生材","2022-08-16","10208903","浙江海正生物材料股份有限公司","C28","化学纤维制造业","","",""
"688205","德科立","2022-08-09","10340867","无锡市德科立光电子技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688206","概伦电子","2021-12-28","10503992","上海概伦电子股份有限公司","I65","软件和信息技术服务业","","",""
"688207","格灵深瞳","2022-03-17","10545653","北京格灵深瞳信息技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688208","道通科技","2020-02-13","10208991","深圳市道通科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688209","英集芯","2022-04-19","10485534","深圳英集芯科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688210","统联精密","2021-12-27","10529094","深圳市泛海统联精密制造股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688211","中科微至","2021-10-26","10526244","中科微至科技股份有限公司","C34","通用设备制造业","","",""
"688212","澳华内镜","2021-11-15","10425691","上海澳华内镜股份有限公司","C35","专用设备制造业","","",""
"688213","思特威","2022-05-20","10546907","思特威(上海)电子科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688215","瑞晟智能","2020-08-28","10147864","浙江瑞晟智能科技股份有限公司","C35","专用设备制造业","","",""
"688216","气派科技","2021-06-23","10138861","气派科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688217","睿昂基因","2021-05-17","10421767","上海睿昂基因科技股份有限公司","C27","医药制造业","","",""
"688218","江苏北人","2019-12-11","10369760","江苏北人智能制造科技股份有限公司","C35","专用设备制造业","","",""
"688219","会通股份","2020-11-18","10465317","会通新材料股份有限公司","C29","橡胶和塑料制品业","","",""
"688220","翱捷科技","2022-01-14","10440186","翱捷科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688221","前沿生物","2020-10-28","10468220","前沿生物药业(南京)股份有限公司","C27","医药制造业","","",""
"688222","成都先导","2020-04-16","10480846","成都先导药物开发股份有限公司","M73","研究和试验发展","","",""
"688223","晶科能源","2022-01-26","106847","晶科能源股份有限公司","C38","电气机械及器材制造业","","",""
"688225","亚信安全","2022-02-09","10527591","亚信安全科技股份有限公司","I65","软件和信息技术服务业","","",""
"688226","威腾电气","2021-07-07","10373133","威腾电气集团股份有限公司","C38","电气机械及器材制造业","","",""
"688227","品高股份","2021-12-30","10478614","广州市品高软件股份有限公司","I65","软件和信息技术服务业","","",""
"688228","开普云","2020-03-27","10404058","开普云信息科技股份有限公司","I65","软件和信息技术服务业","","",""
"688229","博睿数据","2020-08-17","10403954","北京博睿宏远数据科技股份有限公司","I65","软件和信息技术服务业","","",""
"688230","芯导科技","2021-12-01","10528011","上海芯导电子科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688231","隆达股份","2022-07-22","10546906","江苏隆达超合金股份有限公司","C32","有色金属冶炼及压延加工业","","",""
"688232","新点软件","2021-11-17","10341854","国泰新点软件股份有限公司","I65","软件和信息技术服务业","","",""
"688233","神工股份","2020-02-21","10444611","锦州神工半导体股份有限公司","C30","非金属矿物制品业","","",""
"688234","天岳先进","2022-01-12","10495470","山东天岳先进科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688235","百济神州","2021-12-15","10364994","百济神州有限公司","C27","医药制造业","","",""
